name,seller,reviews_rating,reviews_total,old_price,new_price,url
Notebook Acer Aspire 58md Ci5 13°g W11 Home 512ssd 8gb Ram,Por Acer Brasil ,,,3.999,152,https://www.mercadolivre.com.br/notebook-acer-aspire-58md-ci5-13g-w11-home-512ssd-8gb-ram/p/MLB53547163#polycard_client=search-nordic&wid=MLB5640776030&search_layout=grid&position=21&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(1267),2.641,100,https://www.mercadolivre.com.br/notebook-positivo-vision-c15-lumina-bar-celeron-8gb-128gb-emmc-tela-156-hd-antirreflexo-windows-11-tecla-link-cinza/p/MLB37039056#polycard_client=search-nordic&wid=MLB4710185340&search_layout=grid&position=22&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por Acer Brasil ,4.8,(3642),5.299,200,https://www.mercadolivre.com.br/notebook-gamer-acer-nitro-v-anv15-51-57ws-intel-core-i5-13420h-13geraco-512ssd-8gb-nvidia-geforce-rtx-3050-gddr6-linux-gutta-156/p/MLB37396835#polycard_client=search-nordic&wid=MLB3722589767&search_layout=grid&position=23&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",Por Eshop ,4.8,(487),3.237,100,https://www.mercadolivre.com.br/notebook-acer-aspire-3-intel-core-i3-n305-fhd-156-led-tn-uhd-para-processadores-inte-256gb-sdd-8gb-ram-debian-64-bits-prata-a315-510p-320b/p/MLB40937432#polycard_client=search-nordic&wid=MLB5365942552&search_layout=grid&position=24&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Cabo Flexível Compatível Com Botão Para Oppo Watch 3 Pro,,,,97,18,https://www.mercadolivre.com.br/compativel-cable-flexible-con-boton-for-oppo-watch-3-pro/p/MLB2028894562#polycard_client=search-nordic&wid=MLB5530967968&search_layout=grid&position=25&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Inspiron I15-i1300-a80p I7 16gb 1tb W11 Preto Dell,Por Dell ,4.5,(14),5.398,233,https://www.mercadolivre.com.br/notebook-inspiron-i15-i1300-a80p-i7-16gb-1tb-w11-preto-dell/p/MLB52641588#polycard_client=search-nordic&wid=MLB4132228593&search_layout=grid&position=26&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Acer Predator Helios Neo PHN16-72-99MY Intel Ci9 14ªGeração 32GB 1TB SSD RTX4070 Windows11 Cor Preto,Por Acer Brasil ,4.8,(55),14.999,400,https://www.mercadolivre.com.br/acer-predator-helios-neo-phn16-72-99my-intel-ci9-14geraco-32gb-1tb-ssd-rtx4070-windows11-cor-preto/p/MLB44296157#polycard_client=search-nordic&wid=MLB4039270697&search_layout=grid&position=27&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Lenovo IdeaPad 1 15IAU7 Intel Core i7-1255U HD 15.6"" Intel Iris Xe 512GB SSD 12GB RAM Windows 11- 82VY000PBR",Por Eshop ,4.7,(297),5.119,189,https://www.mercadolivre.com.br/notebook-lenovo-ideapad-1-15iau7-intel-core-i7-1255u-hd-156-intel-iris-xe-512gb-ssd-12gb-ram-windows-11-82vy000pbr/p/MLB28574806#polycard_client=search-nordic&wid=MLB5474369550&search_layout=grid&position=28&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
Notebook Acer Aspire 15 Ag15-51p-39mu Ci3 8gb 256gb Ssd Led Ips W11,Por Mercado Livre ,4.9,(11),3.120,128,https://www.mercadolivre.com.br/notebook-acer-aspire-15-ag15-51p-39mu-ci3-8gb-256gb-ssd-led-ips-w11/p/MLB52936702#polycard_client=search-nordic&wid=MLB4144557655&search_layout=grid&position=29&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 8gb Ram 256gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Silver - Nj1739",Por Mercado Livre ,4.6,(28),2.899,142,https://www.mercadolivre.com.br/notebook-asus-vivobook-15-x1504va-intel-core-i5-1334u-8gb-ram-256gb-ssd-linux-keepos-intel-iris-xe-tela-156-led-fhd-silver-nj1739/p/MLB48952658#polycard_client=search-nordic&wid=MLB4109922109&search_layout=grid&position=30&type=product&tracking_id=49cc74d7-2636-4230-8aee-fbc54f0fb7ae&sid=search
